,filename,discrete_pauses,actual_pauses
0,31,"['x-strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'x-weak', 'x-strong', 'medium-p', 'x-strong', 'strong', 'x-strong', 'strong', 'strong', 'x-strong']","[0.18000000000000016, 0.9100000000000001, 0.19000000000000128, 0.879999999999999, 0.9000000000000021, 0.08000000000000185, 0.010000000000001563, 0.8999999999999986, 0.05000000000000071, 0.8799999999999955, 0.11999999999999744, 0.8999999999999986, 0.10000000000000142, 0.1700000000000017, 0.9200000000000017]"
0,32,"['x-strong', 'strong', 'medium-p', 'strong', 'strong', 'x-strong', 'strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'x-weak', 'x-strong', 'x-strong', 'medium-p', 'x-strong', 'strong', 'x-strong']","[0.9199999999999999, 0.14000000000000057, 0.05000000000000071, 0.08000000000000007, 0.8600000000000012, 0.8899999999999988, 0.17999999999999972, 0.8599999999999994, 0.879999999999999, 0.8900000000000006, 0.8999999999999986, 0.0899999999999963, 0.01999999999999602, 0.8800000000000026, 0.9199999999999946, 0.04999999999999716, 0.8800000000000026, 0.17999999999999972, 0.8999999999999986]"
0,33,"['x-strong', 'strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'strong']","[0.9000000000000004, 0.14999999999999947, 0.8599999999999994, 0.9000000000000004, 0.1999999999999993, 0.9100000000000001, 0.120000000000001, 0.9099999999999966, 0.07000000000000028, 0.8900000000000006, 0.8900000000000006, 0.14000000000000057, 0.8799999999999955, 0.8599999999999994, 0.8900000000000006, 0.11999999999999744, 0.8700000000000045, 0.1700000000000017]"
0,34,"['strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'medium-p', 'x-strong', 'strong', 'x-strong', 'medium-p', 'x-strong', 'strong']","[0.18999999999999995, 0.8899999999999997, 0.9200000000000017, 0.9000000000000021, 0.05999999999999872, 0.26000000000000156, 0.9100000000000001, 0.03999999999999915, 0.8900000000000006, 0.0899999999999963, 0.8500000000000014, 0.04000000000000625, 0.9100000000000037, 0.14000000000000057]"
0,35,"['x-strong', 'medium-p', 'strong', 'x-strong', 'strong', 'strong', 'strong', 'x-strong', 'strong', 'medium-p', 'medium-p', 'x-strong', 'weak', 'medium-p', 'x-strong', 'x-strong', 'strong', 'strong', 'x-strong', 'medium-p', 'x-strong', 'medium-p', 'strong', 'x-strong', 'x-strong', 'weak']","[0.8799999999999999, 0.0699999999999994, 0.17999999999999972, 0.8999999999999986, 0.11000000000000121, 0.08999999999999986, 0.08999999999999986, 0.870000000000001, 0.08000000000000185, 0.0799999999999983, 0.0799999999999983, 0.879999999999999, 0.03999999999999915, 0.05999999999999872, 0.8900000000000006, 0.9100000000000037, 0.11999999999999744, 0.11999999999999744, 0.8999999999999986, 0.0799999999999983, 0.8800000000000026, 0.0799999999999983, 0.09000000000000341, 0.8699999999999974, 0.9299999999999997, 0.03999999999999915]"
0,36,"['strong', 'medium-p', 'medium-p', 'x-strong', 'medium-p', 'strong', 'medium-p', 'x-strong', 'medium-p', 'strong', 'strong', 'x-strong', 'strong', 'strong', 'medium-p', 'medium-p', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'x-strong']","[0.8500000000000001, 0.1200000000000001, 0.08000000000000007, 0.8800000000000008, 0.13000000000000078, 0.870000000000001, 0.07000000000000028, 0.8999999999999986, 0.8499999999999979, 0.870000000000001, 0.8699999999999974, 0.8999999999999986, 0.870000000000001, 0.8500000000000014, 0.12000000000000455, 0.10000000000000142, 0.8999999999999986, 0.8900000000000006, 0.8999999999999986, 0.8799999999999955, 0.8500000000000014, 0.8900000000000006]"
0,37,"['strong', 'x-strong', 'strong', 'x-strong', 'medium-p', 'strong', 'x-strong', 'strong', 'strong', 'strong', 'x-strong', 'strong', 'x-strong', 'strong', 'strong', 'x-strong', 'x-strong']","[0.16999999999999993, 0.8799999999999999, 0.14999999999999858, 0.879999999999999, 0.08999999999999986, 0.11999999999999744, 0.8999999999999986, 0.16999999999999815, 0.8099999999999987, 0.129999999999999, 0.8900000000000006, 0.14999999999999858, 0.8799999999999955, 0.8699999999999974, 0.8699999999999974, 0.8900000000000006, 1.4600000000000009]"
0,38,"['x-strong', 'medium-p', 'x-strong', 'strong', 'weak', 'strong', 'strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'strong']","[0.8999999999999999, 0.04999999999999982, 0.8899999999999988, 0.870000000000001, 0.03999999999999915, 0.10000000000000142, 0.07000000000000028, 0.870000000000001, 0.9100000000000001, 0.8800000000000026, 0.9099999999999966, 0.8700000000000045]"
0,39,"['strong', 'x-strong', 'x-strong', 'strong', 'strong', 'x-strong', 'strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'weak', 'strong', 'strong', 'x-strong', 'x-strong', 'strong', 'x-strong']","[0.17000000000000015, 0.8899999999999997, 0.8800000000000008, 0.129999999999999, 0.08999999999999986, 0.8900000000000006, 0.14000000000000057, 0.08999999999999986, 0.879999999999999, 0.9200000000000017, 0.8799999999999955, 0.020000000000003126, 0.0799999999999983, 0.0799999999999983, 0.8599999999999994, 0.8999999999999986, 0.07000000000000028, 0.9099999999999966]"
0,40,"['x-strong', 'medium-p', 'x-strong', 'x-strong', 'x-strong', 'medium-p', 'x-strong', 'strong', 'strong', 'strong', 'strong', 'x-strong', 'medium-p', 'strong', 'x-strong', 'strong', 'strong', 'x-strong', 'medium-p', 'strong', 'x-strong', 'x-strong', 'medium-p', 'x-strong', 'strong', 'strong']","[0.8799999999999999, 0.07000000000000028, 0.8700000000000001, 0.879999999999999, 0.8899999999999988, 0.0600000000000005, 0.9000000000000021, 0.17999999999999972, 0.16000000000000014, 0.15000000000000213, 0.14000000000000057, 0.8599999999999994, 0.120000000000001, 0.1999999999999993, 0.8900000000000006, 0.14999999999999858, 0.14999999999999858, 0.8800000000000026, 0.10999999999999943, 0.14000000000000057, 0.9099999999999966, 0.8799999999999955, 0.07000000000000028, 0.9200000000000017, 0.8399999999999892, 0.13000000000000966]"
0,41,"['medium-p', 'strong', 'strong', 'x-strong', 'x-strong', 'strong', 'medium-p', 'medium-p', 'x-strong', 'x-strong']","[0.1200000000000001, 0.8499999999999996, 0.15000000000000036, 0.8900000000000006, 0.8800000000000008, 0.17999999999999972, 0.14000000000000057, 0.129999999999999, 0.9299999999999997, 0.870000000000001]"
0,42,"['x-strong', 'strong', 'strong', 'strong', 'strong', 'strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'medium-p', 'x-strong', 'x-strong', 'x-strong', 'medium-p', 'x-strong', 'x-strong', 'strong', 'medium-p', 'weak', 'strong', 'strong']","[0.8900000000000001, 0.11999999999999922, 0.1200000000000001, 0.8599999999999994, 0.10999999999999943, 0.16000000000000014, 0.16999999999999815, 0.9000000000000021, 0.8999999999999986, 0.879999999999999, 0.05999999999999872, 0.8800000000000026, 1.1299999999999955, 0.9100000000000037, 0.060000000000002274, 0.8700000000000045, 0.8699999999999974, 0.8599999999999994, 0.07000000000000028, 0.02999999999999403, 0.8599999999999994, 0.12000000000000455]"
0,43,"['strong', 'strong', 'medium-p', 'strong', 'x-strong', 'x-strong', 'strong', 'strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'medium-p', 'x-strong', 'x-strong', 'x-strong', 'medium-p', 'x-strong']","[0.8699999999999999, 0.8700000000000001, 0.04999999999999982, 0.1399999999999988, 0.9199999999999999, 0.8999999999999986, 0.870000000000001, 0.16999999999999815, 0.8800000000000026, 0.8999999999999986, 0.07000000000000028, 0.9200000000000017, 0.9299999999999997, 0.05000000000000426, 0.8999999999999986, 0.8900000000000006, 0.9399999999999977, 0.05000000000000426, 0.9099999999999966]"
0,44,"['strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'medium-p', 'strong', 'strong', 'x-strong', 'medium-p', 'strong', 'medium-p', 'x-strong', 'x-strong', 'x-strong', 'medium-p', 'strong', 'x-strong', 'x-strong']","[0.8600000000000001, 0.8999999999999995, 0.16000000000000014, 0.879999999999999, 0.8999999999999986, 0.05999999999999872, 0.8499999999999979, 0.08000000000000185, 0.9400000000000013, 0.060000000000002274, 0.870000000000001, 0.0799999999999983, 0.8999999999999986, 0.8800000000000026, 0.9300000000000068, 0.060000000000002274, 0.13999999999999346, 0.8800000000000026, 0.8700000000000045]"
