,filename,base_word_lengths,script,emotion,diff,rmse,pcc,relative_diff
49,sad_IWL,"[0.11, 0.23, 0.2, 0.06, 0.29, 0.54, 0.47]",I would like a new alarm clock,S,"[0.00020408163265306367, -0.05367346938775511, 0.014897959183673454, 0.0010204081632653114, -0.06061224489795916, -0.15081632653061228, -0.08081632653061221]",0.07176803964335389,0.9816400038630744,"[-0.8918552875695732, -0.5366370896184561, -0.8744897959183673, -0.9570068027210885, -0.5009922589725546, -0.18071050642479203, -0.35805036908380383]"
50,angry_TAI,"[0.2, 0.6, 0.2, 0.51, 0.55]",The airplane is almost full,A,"[0.04472222222222222, -0.06888888888888889, -0.04472222222222222, 0.02388888888888885, -0.04944444444444451]",0.048500031818749914,0.9684846219857676,"[-1.023611111111111, -0.2851851851851852, -0.5763888888888888, -0.5368409586056644, -0.3601010101010099]"
51,terrified_IWW,"[0.09, 0.31, 0.14, 0.14, 0.13, 0.4]",I wonder what this is about,F,"[-0.007435897435897426, -0.042564102564102535, 0.012564102564102564, 0.028717948717948694, 0.0, 0.025641025641025605]",0.02417655491551122,0.9774900681851777,"[-0.8273789173789176, -0.5526964433416048, -0.9497435897435896, -1.0651282051282047, -0.87, -0.6641025641025641]"
52,cheerful_WSI,"[0.28, 0.34, 0.12, 0.07, 0.37, 0.13, 0.41]",We'll stop in a couple of minutes,H,"[-0.09173913043478263, 0.021739130434782594, -0.013913043478260861, -0.0182608695652174, -0.09043478260869564, -0.030434782608695657, 0.08173913043478265]",0.060002025350639414,0.9274807881781306,"[-0.39236024844720485, -0.723938618925831, -0.7640579710144928, -0.6691304347826086, -0.38558166862514687, -0.635886287625418, -0.7893637327677627]"
53,sad_TIE,"[0.32, 0.19, 0.81, 0.21, 0.72]",That is exactly what happened,S,"[-0.07272727272727272, -0.041515151515151505, -0.18818181818181823, -0.04878787878787877, -0.34727272727272723]",0.1818811507121872,0.9355628033686292,"[-0.4527272727272727, -0.5914992025518342, 0.04232323232323243, -0.5576767676767678, 0.20232323232323224]"
54,terrified_TIE,"[0.29, 0.09, 0.56, 0.14, 0.49]",That is exactly what happened,F,"[-0.04962962962962961, 0.021111111111111122, -0.023703703703703782, -0.007037037037037036, -0.05629629629629629]",0.03657714473748295,0.992388136363094,"[-0.5388633461047254, -1.144567901234568, -0.3976719576719575, -0.8097354497354498, -0.39510959939531365]"
55,unfriendly_ITH,"[0.08, 0.29, 0.05, 0.15, 0.05, 0.51, 0.67]",I think I have a doctor's appointment,D,"[0.019444444444444445, -0.019999999999999962, 0.009444444444444443, 0.022222222222222227, 0.02388888888888889, -0.008888888888888946, -0.0805555555555556]",0.03484660262185849,0.9967807153871013,"[-1.1630555555555555, -0.6410344827586207, -1.1388888888888888, -0.9981481481481481, -1.4277777777777778, -0.47257080610021773, -0.20976782752902146]"
56,cheerful_ITH,"[0.1, 0.32, 0.08, 0.22, 0.06, 0.48, 0.6]",I think I have a doctor's appointment,H,"[0.001063829787234044, -0.07063829787234044, -0.0248936170212766, -0.05553191489361703, -0.009574468085106383, -0.04617021276595745, -0.06382978723404253]",0.04627863951047157,0.995300787433032,"[-0.9106382978723405, -0.4592553191489361, -0.6088297872340426, -0.5275822050290135, -0.7804255319148936, -0.4238120567375887, -0.29361702127659584]"
57,angry_ITH,"[0.08, 0.33, 0.08, 0.2, 0.05, 0.57, 0.73]",I think I have a doctor's appointment,A,"[0.04866666666666668, -0.030666666666666675, 0.006000000000000005, -0.0040000000000000036, 0.030333333333333337, -0.0716666666666666, -0.126]",0.0601107443582392,0.9978529416013808,"[-1.5283333333333333, -0.5770707070707071, -0.995, -0.78, -1.5566666666666666, -0.30426900584795336, -0.09739726027397266]"
58,neutral_ITH,"[0.08, 0.27, 0.06, 0.17, 0.05, 0.45, 0.63]",I think I have a doctor's appointment,N,"[0.039871794871794874, 0.014871794871794852, 0.018589743589743593, 0.04205128205128203, 0.009615384615384616, -0.0039743589743589935, -0.11243589743589744]",0.04880705654582368,0.9871178883663008,"[-1.4183974358974358, -0.7850807217473883, -1.2498290598290598, -1.0773604826546002, -1.1423076923076922, -0.5411680911680912, -0.19153032153032157]"
59,sad_MTI,"[0.46, 0.71, 0.11, 0.15, 0.19, 0.5]",Maybe tomorrow it will be cold,S,"[-0.1386842105263158, -0.17789473684210522, 0.008684210526315794, -0.001842105263157895, -0.047631578947368414, -0.026052631578947383]",0.09478586694483433,0.971385135708467,"[-0.23851258581235696, -0.03944403261675322, -0.9689473684210527, -0.837719298245614, -0.5593074792243768, -0.44789473684210523]"
60,terrified_TSI,"[0.19, 0.39, 0.17, 0.4]",The surface is slick,F,"[-0.047317073170731694, 0.01658536585365855, -0.05341463414634147, 0.08804878048780485]",0.05727060908599024,0.9892923145925072,"[-0.5609627727856226, -0.6525265791119449, -0.5157962697274031, -0.820121951219512]"
61,angry_MTI,"[0.42, 0.61, 0.11, 0.15, 0.16, 0.46]",Maybe tomorrow it will be cold,A,"[-0.04575757575757572, -0.033030303030302965, 0.019393939393939394, 0.00242424242424244, -0.009090909090909094, 0.1363636363636364]",0.06088848337253448,0.9539306814219113,"[-0.4710533910533911, -0.33585196224540503, -1.0663085399449035, -0.8661616161616162, -0.7831818181818181, -0.8364426877470357]"
62,sad_IWW,"[0.15, 0.46, 0.24, 0.25, 0.16, 0.59]",I wonder what this is about,S,"[-0.07444444444444444, -0.18611111111111112, -0.08388888888888887, -0.06944444444444445, -0.016666666666666663, -0.1972222222222222]",0.12329745891333525,0.9771460415265686,"[-0.35370370370370374, -0.13541062801932363, -0.41046296296296303, -0.4722222222222222, -0.7358333333333333, -0.07572504708097938]"
63,angry_IWL,"[0.12, 0.2, 0.21, 0.08, 0.26, 0.46, 0.41]",I would like a new alarm clock,A,"[0.034444444444444444, 0.013111111111111101, 0.09022222222222223, 0.016, 0.039777777777777745, 0.0015555555555555323, 0.11155555555555557]",0.05828955273178855,0.9653887055924473,"[-1.167037037037037, -0.8655555555555556, -1.2196296296296296, -1.1199999999999999, -0.8929914529914529, -0.5433816425120772, -0.8620867208672087]"
64,angry_TSI,"[0.23, 0.55, 0.2, 0.48]",The surface is slick,A,"[-0.007241379310344825, 0.01586206896551723, -0.00034482758620690834, 0.17482758620689653]",0.08784766162394017,0.9490216100034582,"[-0.7385157421289356, -0.4788401253918495, -0.7982758620689654, -0.8842241379310345]"
65,cheerful_IWW,"[0.12, 0.39, 0.2, 0.2, 0.13, 0.44]",I wonder what this is about,H,"[-0.025185185185185185, -0.12222222222222223, -0.0488888888888889, -0.034814814814814826, 0.010000000000000009, -0.03629629629629627]",0.05858353163071065,0.9539463861304678,"[-0.6701234567901234, -0.29660968660968656, -0.5555555555555556, -0.6259259259259258, -0.9469230769230771, -0.4775084175084176]"
66,terrified_IOM,"[0.15, 0.13, 0.14, 0.19, 0.11, 0.09, 0.48]",I'm on my way to the meeting,F,"[0.032777777777777795, -0.00916666666666667, -0.014166666666666689, -0.012777777777777777, -0.004722222222222225, 0.002777777777777782, -0.08138888888888884]",0.03417715028218318,0.9868775406541469,"[-1.0685185185185186, -0.7994871794871795, -0.7588095238095236, -0.7427485380116958, -0.8470707070707071, -0.9408641975308644, -0.3504398148148149]"
67,cheerful_IEO,"[0.21, 0.45, 0.58]",It's eleven o'clock,H,"[-0.03948148148148148, -0.09985185185185186, -0.05037037037037029]",0.06847470070389748,0.9856270284320988,"[-0.6019929453262787, -0.3281069958847736, -0.33315453384418914]"
68,angry_IWW,"[0.11, 0.42, 0.2, 0.21, 0.15, 0.51]",I wonder what this is about,A,"[0.021666666666666654, -0.10333333333333333, -0.015555555555555572, 0.0025000000000000022, -0.002777777777777768, -0.0036111111111111205]",0.043619956640097095,0.9648694243957822,"[-1.0869696969696967, -0.33396825396825397, -0.7222222222222221, -0.8019047619047619, -0.8314814814814815, -0.4829193899782135]"
69,unfriendly_IWW,"[0.1, 0.32, 0.18, 0.18, 0.14, 0.45]",I wonder what this is about,D,"[0.024761904761904763, -0.029047619047619044, -0.007619047619047609, 0.025714285714285717, 0.003333333333333327, -0.06380952380952382]",0.03229797959651082,0.9927671540887495,"[-1.1476190476190475, -0.5892261904761904, -0.7776719576719577, -0.9628571428571429, -0.8838095238095237, -0.4082010582010582]"
70,cheerful_TIE,"[0.29, 0.15, 0.63, 0.16, 0.52]",That is exactly what happened,H,"[-0.03676470588235292, -0.01529411764705882, -0.05617647058823527, -0.018235294117647072, -0.08647058823529413]",0.050101972141391275,0.996717122747943,"[-0.5832251521298175, -0.7480392156862745, -0.28083099906629316, -0.7260294117647058, -0.3137104072398189]"
71,angry_WSI,"[0.29, 0.39, 0.13, 0.06, 0.36, 0.13, 0.46]",We'll stop in a couple of minutes,A,"[-0.04959459459459456, 0.07027027027027027, 0.013513513513513514, 0.005405405405405406, -0.0018918918918918726, -0.01135135135135136, 0.1262162162162162]",0.05815291888056472,0.9696886571215138,"[-0.5389841565703637, -0.7901801801801801, -0.9739501039501038, -1.03009009009009, -0.6347447447447448, -0.7826819126819126, -0.8143830787309048]"
